adcode,name_zh,province,reach,area_km2,karst_km2,karst_frac
360702,章贡区,Jiangxi,midstream,591.319208488803,0.0,0.0
360703,南康区,Jiangxi,midstream,1740.4298067739564,0.0,0.0
360704,赣县区,Jiangxi,midstream,2987.273378102233,146.32957728831212,0.048984327434161035
360722,信丰县,Jiangxi,midstream,2866.6780978602183,629.1641128912759,0.21947497815011194
360723,大余县,Jiangxi,midstream,1345.3442328613287,0.0,0.0
360724,上犹县,Jiangxi,midstream,1535.697107335186,0.0,0.0
360725,崇义县,Jiangxi,midstream,2205.15875354076,2.2162952900113986,0.0010050502198323623
360726,安远县,Jiangxi,midstream,2363.6326122264177,0.0,0.0
360728,定南县,Jiangxi,midstream,1321.3758952487754,0.282660669710334,0.00021391389893419955
360729,全南县,Jiangxi,midstream,1533.8417267049902,145.43055343782922,0.09481457630589056
360730,宁都县,Jiangxi,midstream,4051.055865035267,194.98555413693438,0.04813203289045161
360731,于都县,Jiangxi,midstream,2890.8217134985393,1925.3553569095811,0.6660235558350887
360732,兴国县,Jiangxi,midstream,3213.9462137252276,63.46352841355399,0.01974629449072035
