adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id
341722,石台县,district,Anhui,downstream,池州市,1429.5188649595768,341722
341723,青阳县,district,Anhui,downstream,池州市,1194.166013067355,341723
341802,宣州区,district,Anhui,downstream,宣城市,2632.267410727774,341802
341821,郎溪县,district,Anhui,downstream,宣城市,1101.625827929153,341821
341823,泾县,district,Anhui,downstream,宣城市,2035.9922387839435,341823
341824,绩溪县,district,Anhui,downstream,宣城市,1111.9240284860919,341824
341825,旌德县,district,Anhui,downstream,宣城市,903.5139208141164,341825
341881,宁国市,district,Anhui,downstream,宣城市,2427.2548587043675,341881
341882,广德市,district,Anhui,downstream,宣城市,2109.985696100287,341882
360102,东湖区,district,Jiangxi,midstream,南昌市,55.438449543208975,360102
360103,西湖区,district,Jiangxi,midstream,南昌市,34.67313309565516,360103
360104,青云谱区,district,Jiangxi,midstream,南昌市,36.88684465783203,360104
360111,青山湖区,district,Jiangxi,midstream,南昌市,262.7025828074559,360111
360112,新建区,district,Jiangxi,midstream,南昌市,2198.9769661640435,360112
360113,红谷滩区,district,Jiangxi,midstream,南昌市,195.6951590835792,360113
360121,南昌县,district,Jiangxi,midstream,南昌市,1808.190192714385,360121
360123,安义县,district,Jiangxi,midstream,南昌市,664.8719936424603,360123
360124,进贤县,district,Jiangxi,midstream,南昌市,1937.6521636491213,360124
360202,昌江区,district,Jiangxi,midstream,景德镇市,324.7732660725915,360202
360203,珠山区,district,Jiangxi,midstream,景德镇市,113.60791308218471,360203
360222,浮梁县,district,Jiangxi,midstream,景德镇市,2831.515404499308,360222
360281,乐平市,district,Jiangxi,midstream,景德镇市,1982.7177770678134,360281
360302,安源区,district,Jiangxi,midstream,萍乡市,212.48884585472334,360302
360313,湘东区,district,Jiangxi,midstream,萍乡市,856.7814945507386,360313
360321,莲花县,district,Jiangxi,midstream,萍乡市,1065.944136146615,360321
360322,上栗县,district,Jiangxi,midstream,萍乡市,728.2416986310417,360322
360323,芦溪县,district,Jiangxi,midstream,萍乡市,958.379034562461,360323
360402,濂溪区,district,Jiangxi,midstream,九江市,400.15837630658876,360402
360403,浔阳区,district,Jiangxi,midstream,九江市,48.001345996948146,360403
360404,柴桑区,district,Jiangxi,midstream,九江市,887.9961248913513,360404
